service_id,vehicle_id,make,model,model_year,service_date,service_month,mileage_at_service,mileage_band,failure_category,repair_cost,days_in_shop,technician_id,service_center_region,warranty_flag
38,V-0013,Ford,F-150,2021,2025-10-13,2025-10,50704,50k-75k,Cooling System,646.37,1,T-06,West,N
39,V-0014,Ford,Explorer,2023,2025-03-05,2025-03,26138,25k-50k,Brakes,479.38,1,T-10,Southeast,N
40,V-0015,Chevrolet,Silverado,2015,2025-02-01,2025-02,110286,100k-150k,HVAC,667.49,1,T-18,Northeast,N
41,V-0015,Chevrolet,Silverado,2015,2025-08-22,2025-08,115974,100k-150k,Cooling System,443.86,1,T-02,Midwest,N
42,V-0015,Chevrolet,Silverado,2015,2025-09-30,2025-09,117171,100k-150k,Suspension,241.61,1,T-15,Northeast,N
43,V-0015,Chevrolet,Silverado,2015,2025-11-14,2025-11,118299,100k-150k,Suspension,145.99,1,T-12,Northeast,N
44,V-0016,Ford,Explorer,2022,2025-09-29,2025-09,38374,25k-50k,HVAC,294.89,3,T-13,Southeast,N
45,V-0017,Honda,CR-V,2020,2025-02-26,2025-02,41821,25k-50k,Cooling System,350.12,1,T-06,Northeast,N
46,V-0017,Honda,CR-V,2020,2025-03-08,2025-03,42156,25k-50k,Suspension,289.01,1,T-06,Southwest,N
47,V-0017,Honda,CR-V,2020,2025-05-19,2025-05,44403,25k-50k,Cooling System,274.4,1,T-14,Southwest,N
48,V-0017,Honda,CR-V,2020,2025-10-26,2025-10,48202,25k-50k,Engine,1492.6,6,T-19,Midwest,N
49,V-0017,Honda,CR-V,2020,2025-11-11,2025-11,48515,25k-50k,Transmission,1098.54,4,T-19,Northeast,N
50,V-0018,Nissan,Altima,2022,2025-03-01,2025-03,44985,25k-50k,Suspension,857.2,1,T-18,Southeast,Y
51,V-0018,Nissan,Altima,2022,2025-03-27,2025-03,45505,25k-50k,Suspension,191.7,1,T-06,Northeast,Y
52,V-0018,Nissan,Altima,2022,2025-08-29,2025-08,51391,50k-75k,HVAC,657.27,1,T-03,West,Y
53,V-0019,Ford,Explorer,2017,2025-03-09,2025-03,109459,100k-150k,Cooling System,198.27,3,T-12,Southwest,N
54,V-0019,Ford,Explorer,2017,2025-04-30,2025-04,111328,100k-150k,Suspension,800.99,1,T-17,Southeast,N
55,V-0020,Ford,Escape,2015,2025-04-19,2025-04,82137,75k-100k,Electrical,887.45,3,T-08,Midwest,N
56,V-0020,Ford,Escape,2015,2025-06-22,2025-06,83958,75k-100k,Suspension,237.15,1,T-06,West,N
57,V-0020,Ford,Escape,2015,2025-07-05,2025-07,84026,75k-100k,Suspension,851.18,4,T-12,Midwest,N
58,V-0020,Ford,Escape,2015,2025-07-12,2025-07,84454,75k-100k,Electrical,679.04,1,T-02,West,N
59,V-0020,Ford,Escape,2015,2025-10-15,2025-10,86496,75k-100k,Suspension,297.32,1,T-19,Northeast,N
60,V-0020,Ford,Escape,2015,2025-12-14,2025-12,88026,75k-100k,Suspension,169.72,3,T-18,Southwest,N
61,V-0021,Ford,Explorer,2020,2025-02-01,2025-02,58058,50k-75k,HVAC,730.09,1,T-16,Northeast,N
62,V-0021,Ford,Explorer,2020,2025-03-17,2025-03,59328,50k-75k,Suspension,263.36,1,T-14,Midwest,N
63,V-0021,Ford,Explorer,2020,2025-04-09,2025-04,60573,50k-75k,Transmission,3299.78,8,T-14,Southeast,N
64,V-0021,Ford,Explorer,2020,2025-06-01,2025-06,61890,50k-75k,Transmission,2046.0,4,T-07,Southwest,N
65,V-0022,Toyota,RAV4,2020,2025-06-24,2025-06,69297,50k-75k,Transmission,1796.65,2,T-09,Midwest,N
66,V-0022,Toyota,RAV4,2020,2025-07-23,2025-07,69777,50k-75k,Engine,1035.42,3,T-05,Southwest,N
67,V-0022,Toyota,RAV4,2020,2025-09-05,2025-09,71505,50k-75k,Transmission,2062.72,3,T-11,Southeast,N
68,V-0023,Toyota,Corolla,2022,2025-03-13,2025-03,28483,25k-50k,HVAC,285.15,1,T-14,Midwest,Y
69,V-0023,Toyota,Corolla,2022,2025-03-30,2025-03,28655,25k-50k,HVAC,157.35,1,T-06,Midwest,Y
70,V-0023,Toyota,Corolla,2022,2025-09-02,2025-09,33026,25k-50k,HVAC,653.18,3,T-16,Northeast,Y
71,V-0023,Toyota,Corolla,2022,2025-09-26,2025-09,34178,25k-50k,Electrical,125.02,1,T-10,Northeast,Y
72,V-0023,Toyota,Corolla,2022,2025-11-12,2025-11,35701,25k-50k,Transmission,1683.64,3,T-09,Southeast,Y
73,V-0024,Honda,Accord,2023,2025-01-07,2025-01,18136,0-25k,Brakes,413.7,1,T-12,West,Y
74,V-0025,Nissan,Rogue,2015,2025-06-08,2025-06,88785,75k-100k,Suspension,423.78,3,T-07,West,N
75,V-0025,Nissan,Rogue,2015,2025-10-12,2025-10,92180,75k-100k,Engine,726.88,1,T-17,Northeast,N
76,V-0025,Nissan,Rogue,2015,2025-11-06,2025-11,92341,75k-100k,Suspension,342.57,1,T-01,Southwest,N
77,V-0026,Nissan,Altima,2023,2025-03-26,2025-03,22724,0-25k,HVAC,172.4,1,T-17,Midwest,Y
78,V-0027,Toyota,Corolla,2019,2025-10-02,2025-10,94776,75k-100k,Cooling System,394.7,1,T-04,Southeast,N
79,V-0028,Ford,Escape,2018,2025-05-20,2025-05,93742,75k-100k,Engine,1511.89,3,T-07,Southeast,N
80,V-0028,Ford,Escape,2018,2025-05-30,2025-05,93678,75k-100k,Brakes,647.41,1,T-01,West,N
81,V-0028,Ford,Escape,2018,2025-09-27,2025-09,98414,75k-100k,Cooling System,697.95,1,T-11,Midwest,N
82,V-0028,Ford,Escape,2018,2025-11-06,2025-11,100270,100k-150k,Engine,1189.43,3,T-06,Southeast,N
83,V-0028,Ford,Escape,2018,2025-12-15,2025-12,101734,100k-150k,Engine,2618.44,6,T-10,West,N
84,V-0029,Honda,Civic,2015,2025-01-08,2025-01,89877,75k-100k,HVAC,465.77,2,T-14,Midwest,N
85,V-0029,Honda,Civic,2015,2025-01-15,2025-01,89927,75k-100k,Engine,2524.45,4,T-11,Midwest,N
86,V-0030,Chevrolet,Equinox,2021,2025-03-09,2025-03,37290,25k-50k,Suspension,745.91,2,T-10,Midwest,N
87,V-0030,Chevrolet,Equinox,2021,2025-04-10,2025-04,38757,25k-50k,Engine,1489.41,4,T-12,Southwest,N
88,V-0030,Chevrolet,Equinox,2021,2025-10-20,2025-10,43546,25k-50k,Electrical,127.1,1,T-16,Southwest,N
89,V-0031,Nissan,Altima,2019,2025-02-27,2025-02,78565,75k-100k,Cooling System,394.4,1,T-18,Southeast,N
90,V-0031,Nissan,Altima,2019,2025-03-10,2025-03,79071,75k-100k,Electrical,568.89,1,T-15,Northeast,N
91,V-0031,Nissan,Altima,2019,2025-04-07,2025-04,79737,75k-100k,Suspension,586.2,1,T-03,Midwest,N
92,V-0031,Nissan,Altima,2019,2025-05-30,2025-05,81405,75k-100k,Suspension,279.2,1,T-03,Southeast,N
93,V-0031,Nissan,Altima,2019,2025-08-17,2025-08,84565,75k-100k,Suspension,346.62,1,T-09,Midwest,N
94,V-0031,Nissan,Altima,2019,2025-10-10,2025-10,86449,75k-100k,Suspension,520.2,2,T-06,Northeast,N
95,V-0032,Toyota,Corolla,2017,2025-01-21,2025-01,83060,75k-100k,HVAC,295.79,1,T-14,West,N
96,V-0032,Toyota,Corolla,2017,2025-03-02,2025-03,84125,75k-100k,Suspension,397.84,1,T-04,Southwest,N
97,V-0032,Toyota,Corolla,2017,2025-10-15,2025-10,90983,75k-100k,Brakes,254.36,1,T-07,Midwest,N
98,V-0033,Chevrolet,Equinox,2023,2025-07-19,2025-07,20219,0-25k,Electrical,148.9,2,T-11,Northeast,Y
99,V-0034,Honda,CR-V,2018,2025-04-23,2025-04,110540,100k-150k,Brakes,174.33,1,T-09,Southwest,N
100,V-0034,Honda,CR-V,2018,2025-05-12,2025-05,111870,100k-150k,Cooling System,496.23,1,T-07,West,N
101,V-0034,Honda,CR-V,2018,2025-07-25,2025-07,114883,100k-150k,HVAC,588.16,2,T-17,Southwest,N
102,V-0034,Honda,CR-V,2018,2025-08-11,2025-08,115234,100k-150k,Engine,1290.93,3,T-20,Midwest,N
103,V-0034,Honda,CR-V,2018,2025-09-09,2025-09,116829,100k-150k,Electrical,335.7,1,T-19,West,N
104,V-0034,Honda,CR-V,2018,2025-10-13,2025-10,117929,100k-150k,Electrical,332.04,2,T-15,West,N
105,V-0034,Honda,CR-V,2018,2025-10-15,2025-10,118036,100k-150k,Engine,1705.85,3,T-12,West,N
106,V-0034,Honda,CR-V,2018,2025-10-20,2025-10,118406,100k-150k,Electrical,652.58,2,T-09,Midwest,N
107,V-0034,Honda,CR-V,2018,2025-10-31,2025-10,118396,100k-150k,Electrical,129.85,1,T-02,Northeast,N
108,V-0034,Honda,CR-V,2018,2025-11-21,2025-11,119764,100k-150k,Brakes,352.51,1,T-12,West,N
109,V-0035,Ford,F-150,2021,2025-05-08,2025-05,68720,50k-75k,Brakes,309.13,1,T-13,West,N
110,V-0036,Honda,CR-V,2022,2025-03-12,2025-03,33098,25k-50k,Transmission,1540.84,2,T-06,Southeast,N
111,V-0037,Toyota,Camry,2019,2025-02-16,2025-02,86880,75k-100k,Engine,3177.16,7,T-06,Southwest,N
112,V-0037,Toyota,Camry,2019,2025-08-03,2025-08,93986,75k-100k,Engine,2857.88,7,T-05,Northeast,N
113,V-0037,Toyota,Camry,2019,2025-10-21,2025-10,97000,75k-100k,Brakes,482.0,1,T-17,Southeast,N
114,V-0037,Toyota,Camry,2019,2025-11-12,2025-11,98093,75k-100k,Brakes,254.14,1,T-07,Southwest,N
115,V-0038,Chevrolet,Malibu,2021,2025-03-16,2025-03,42771,25k-50k,Suspension,551.48,1,T-08,West,N
116,V-0038,Chevrolet,Malibu,2021,2025-04-25,2025-04,44382,25k-50k,Brakes,560.82,1,T-17,Midwest,N
117,V-0038,Chevrolet,Malibu,2021,2025-05-03,2025-05,44586,25k-50k,Suspension,636.98,1,T-16,West,N
118,V-0038,Chevrolet,Malibu,2021,2025-06-19,2025-06,45742,25k-50k,HVAC,166.53,1,T-06,Northeast,N
119,V-0038,Chevrolet,Malibu,2021,2025-09-27,2025-09,48613,25k-50k,HVAC,666.74,3,T-11,Midwest,N
120,V-0038,Chevrolet,Malibu,2021,2025-12-26,2025-12,50820,50k-75k,Cooling System,290.26,2,T-20,West,N
121,V-0039,Ford,F-150,2019,2025-03-24,2025-03,92867,75k-100k,Engine,1660.77,8,T-13,West,N
122,V-0039,Ford,F-150,2019,2025-05-30,2025-05,95938,75k-100k,Engine,2081.88,5,T-11,Southeast,N
123,V-0039,Ford,F-150,2019,2025-07-16,2025-07,97546,75k-100k,HVAC,529.41,1,T-20,Southwest,N
124,V-0040,Ford,Explorer,2020,2025-05-25,2025-05,60752,50k-75k,Electrical,382.55,1,T-07,Southeast,N
125,V-0041,Toyota,Corolla,2015,2025-06-12,2025-06,117800,100k-150k,Cooling System,169.83,1,T-12,West,N
126,V-0041,Toyota,Corolla,2015,2025-06-14,2025-06,117727,100k-150k,Engine,1125.58,1,T-08,Northeast,N
127,V-0041,Toyota,Corolla,2015,2025-07-12,2025-07,119144,100k-150k,Brakes,161.85,1,T-12,Southeast,N
128,V-0041,Toyota,Corolla,2015,2025-08-23,2025-08,120391,100k-150k,Electrical,761.91,2,T-13,West,N
129,V-0041,Toyota,Corolla,2015,2025-10-22,2025-10,122302,100k-150k,Transmission,3002.1,7,T-05,Northeast,N
130,V-0041,Toyota,Corolla,2015,2025-11-23,2025-11,123415,100k-150k,Suspension,828.04,1,T-12,Southwest,N
131,V-0041,Toyota,Corolla,2015,2025-12-08,2025-12,124504,100k-150k,Cooling System,156.63,1,T-15,Southwest,N
132,V-0042,Chevrolet,Equinox,2022,2025-05-11,2025-05,26851,25k-50k,Brakes,209.24,1,T-03,Southeast,Y
133,V-0042,Chevrolet,Equinox,2022,2025-12-30,2025-12,32777,25k-50k,Electrical,500.53,2,T-09,Northeast,N
134,V-0042,Chevrolet,Equinox,2022,2025-12-31,2025-12,32250,25k-50k,Suspension,922.53,1,T-20,Midwest,Y
135,V-0043,Toyota,Camry,2020,2025-02-06,2025-02,40790,25k-50k,Electrical,307.79,1,T-10,Northeast,N
136,V-0043,Toyota,Camry,2020,2025-04-05,2025-04,41975,25k-50k,Electrical,456.47,1,T-09,West,N
137,V-0043,Toyota,Camry,2020,2025-05-12,2025-05,42758,25k-50k,Suspension,579.37,1,T-08,West,N
138,V-0043,Toyota,Camry,2020,2025-06-16,2025-06,44341,25k-50k,Suspension,498.55,1,T-14,Southwest,N
139,V-0043,Toyota,Camry,2020,2025-07-08,2025-07,44250,25k-50k,Engine,1258.98,1,T-04,Midwest,N
140,V-0043,Toyota,Camry,2020,2025-10-09,2025-10,46777,25k-50k,Engine,1448.78,2,T-09,West,N
141,V-0043,Toyota,Camry,2020,2025-10-31,2025-10,47548,25k-50k,HVAC,738.76,2,T-11,West,N
142,V-0043,Toyota,Camry,2020,2025-12-21,2025-12,48520,25k-50k,Engine,1215.5,1,T-16,Southwest,N
143,V-0044,Toyota,Corolla,2022,2025-03-18,2025-03,32073,25k-50k,Brakes,619.99,1,T-01,Midwest,N
144,V-0044,Toyota,Corolla,2022,2025-04-20,2025-04,33173,25k-50k,Brakes,287.47,2,T-06,Southeast,Y
145,V-0044,Toyota,Corolla,2022,2025-05-14,2025-05,33232,25k-50k,Transmission,2057.09,3,T-16,Northeast,Y
146,V-0045,Nissan,Sentra,2019,2025-01-22,2025-01,63946,50k-75k,Electrical,333.97,1,T-19,Midwest,N
147,V-0045,Nissan,Sentra,2019,2025-02-23,2025-02,65088,50k-75k,Cooling System,198.64,1,T-09,Southeast,N
148,V-0045,Nissan,Sentra,2019,2025-02-26,2025-02,65263,50k-75k,Transmission,2519.47,4,T-01,Southwest,N
149,V-0045,Nissan,Sentra,2019,2025-03-15,2025-03,65293,50k-75k,Electrical,844.34,1,T-03,Midwest,N
150,V-0045,Nissan,Sentra,2019,2025-11-15,2025-11,72999,50k-75k,Cooling System,601.89,1,T-04,Midwest,N
151,V-0046,Honda,Civic,2016,2025-06-22,2025-06,139597,100k-150k,Suspension,943.11,3,T-01,Midwest,N
152,V-0046,Honda,Civic,2016,2025-07-11,2025-07,140346,100k-150k,Transmission,1934.67,3,T-04,Southwest,N
153,V-0046,Honda,Civic,2016,2025-08-19,2025-08,142533,100k-150k,Transmission,690.29,1,T-02,Southwest,N
154,V-0047,Ford,Explorer,2015,2025-05-10,2025-05,87144,75k-100k,Transmission,2701.61,4,T-11,Northeast,N
155,V-0047,Ford,Explorer,2015,2025-09-24,2025-09,89997,75k-100k,HVAC,659.79,2,T-07,Southwest,N
156,V-0047,Ford,Explorer,2015,2025-09-30,2025-09,90218,75k-100k,HVAC,456.78,2,T-17,Southwest,N
157,V-0048,Chevrolet,Equinox,2018,2025-01-17,2025-01,105063,100k-150k,Brakes,272.99,1,T-12,Southwest,N
158,V-0048,Chevrolet,Equinox,2018,2025-08-11,2025-08,113547,100k-150k,Brakes,452.62,1,T-15,Midwest,N
159,V-0049,Ford,Escape,2022,2025-05-19,2025-05,31714,25k-50k,Brakes,401.26,1,T-10,Southeast,Y
160,V-0049,Ford,Escape,2022,2025-06-27,2025-06,32652,25k-50k,Brakes,333.29,1,T-06,Midwest,Y
161,V-0049,Ford,Escape,2022,2025-08-26,2025-08,34752,25k-50k,Electrical,795.08,2,T-13,Midwest,Y
162,V-0050,Ford,Escape,2022,2025-03-13,2025-03,30845,25k-50k,Engine,1164.14,2,T-07,West,Y
163,V-0050,Ford,Escape,2022,2025-04-21,2025-04,32610,25k-50k,Brakes,273.41,3,T-14,West,Y
164,V-0050,Ford,Escape,2022,2025-12-09,2025-12,39553,25k-50k,Electrical,101.98,1,T-11,West,Y
165,V-0050,Ford,Escape,2022,2025-12-22,2025-12,39844,25k-50k,Engine,2187.97,4,T-20,Southeast,Y
166,V-0050,Ford,Escape,2022,2025-12-24,2025-12,40097,25k-50k,Brakes,444.51,1,T-12,Southwest,Y
167,V-0051,Honda,CR-V,2015,2025-07-04,2025-07,138103,100k-150k,Transmission,1613.02,3,T-02,Northeast,N
168,V-0051,Honda,CR-V,2015,2025-08-07,2025-08,139594,100k-150k,Transmission,2399.67,6,T-15,Northeast,N
169,V-0051,Honda,CR-V,2015,2025-08-29,2025-08,139603,100k-150k,Brakes,423.49,1,T-16,Southeast,N
170,V-0051,Honda,CR-V,2015,2025-10-21,2025-10,141727,100k-150k,Brakes,488.94,3,T-20,Northeast,N
171,V-0052,Honda,Accord,2017,2025-03-11,2025-03,73423,50k-75k,Transmission,3012.54,5,T-03,Southeast,N
172,V-0052,Honda,Accord,2017,2025-04-04,2025-04,74340,50k-75k,Brakes,558.47,1,T-15,Midwest,N
173,V-0052,Honda,Accord,2017,2025-09-04,2025-09,78018,75k-100k,Transmission,2817.67,7,T-20,Southwest,N
174,V-0052,Honda,Accord,2017,2025-12-17,2025-12,80234,75k-100k,Suspension,352.04,1,T-03,Southwest,N
175,V-0053,Toyota,Camry,2017,2025-02-24,2025-02,108779,100k-150k,Transmission,983.31,4,T-07,Southeast,N
176,V-0053,Toyota,Camry,2017,2025-02-26,2025-02,108503,100k-150k,Suspension,454.8,1,T-09,Midwest,N
177,V-0053,Toyota,Camry,2017,2025-03-21,2025-03,109691,100k-150k,Transmission,3096.3,9,T-15,Midwest,N
178,V-0053,Toyota,Camry,2017,2025-04-09,2025-04,110605,100k-150k,Transmission,1955.49,6,T-17,Midwest,N
179,V-0054,Nissan,Rogue,2017,2025-02-09,2025-02,76579,75k-100k,Cooling System,400.21,2,T-01,Southeast,N
180,V-0054,Nissan,Rogue,2017,2025-03-31,2025-03,78517,75k-100k,Electrical,307.84,1,T-07,Southeast,N
181,V-0054,Nissan,Rogue,2017,2025-05-12,2025-05,79174,75k-100k,Electrical,348.46,1,T-07,Southeast,N
182,V-0054,Nissan,Rogue,2017,2025-08-19,2025-08,81829,75k-100k,HVAC,593.26,1,T-10,Southeast,N
183,V-0054,Nissan,Rogue,2017,2025-10-08,2025-10,82960,75k-100k,Cooling System,542.09,1,T-06,Southwest,N
184,V-0055,Nissan,Altima,2017,2025-03-26,2025-03,67610,50k-75k,Engine,1965.37,3,T-12,Southeast,N
185,V-0056,Ford,Escape,2017,2025-01-14,2025-01,120490,100k-150k,Engine,2098.77,3,T-19,Southeast,N
186,V-0056,Ford,Escape,2017,2025-03-28,2025-03,123391,100k-150k,Engine,2150.45,4,T-17,Southwest,N
187,V-0056,Ford,Escape,2017,2025-09-21,2025-09,130145,100k-150k,Cooling System,341.33,1,T-06,Midwest,N
188,V-0056,Ford,Escape,2017,2025-10-02,2025-10,130429,100k-150k,Cooling System,169.92,2,T-18,Midwest,N
189,V-0056,Ford,Escape,2017,2025-10-11,2025-10,130660,100k-150k,Cooling System,672.87,2,T-17,West,N
190,V-0057,Nissan,Altima,2016,2025-01-13,2025-01,126216,100k-150k,HVAC,625.85,1,T-11,Southwest,N
191,V-0057,Nissan,Altima,2016,2025-01-23,2025-01,127031,100k-150k,Cooling System,437.18,1,T-13,Southeast,N
192,V-0057,Nissan,Altima,2016,2025-03-05,2025-03,128061,100k-150k,Brakes,278.84,1,T-19,Southwest,N
193,V-0057,Nissan,Altima,2016,2025-05-26,2025-05,131421,100k-150k,Brakes,628.09,2,T-12,Southwest,N
194,V-0057,Nissan,Altima,2016,2025-08-11,2025-08,135002,100k-150k,Brakes,481.02,1,T-14,Southwest,N
195,V-0057,Nissan,Altima,2016,2025-10-24,2025-10,138200,100k-150k,Suspension,342.33,2,T-16,Southwest,N
196,V-0057,Nissan,Altima,2016,2025-11-19,2025-11,139216,100k-150k,Transmission,2673.95,8,T-04,Southeast,N
197,V-0057,Nissan,Altima,2016,2025-12-08,2025-12,139939,100k-150k,Suspension,482.87,2,T-05,West,N
198,V-0058,Chevrolet,Equinox,2023,2025-03-17,2025-03,23512,0-25k,Suspension,217.45,1,T-17,Midwest,N
199,V-0058,Chevrolet,Equinox,2023,2025-08-13,2025-08,27686,25k-50k,Engine,1203.88,3,T-07,Northeast,N
200,V-0059,Toyota,Camry,2019,2025-01-27,2025-01,48731,25k-50k,Cooling System,571.32,1,T-15,Midwest,N
201,V-0059,Toyota,Camry,2019,2025-06-03,2025-06,51325,50k-75k,HVAC,601.3,1,T-05,West,N
202,V-0059,Toyota,Camry,2019,2025-11-14,2025-11,55518,50k-75k,Cooling System,452.68,1,T-02,Southwest,N
203,V-0060,Nissan,Rogue,2016,2025-05-07,2025-05,142505,100k-150k,Transmission,1002.86,1,T-16,Southeast,N
204,V-0060,Nissan,Rogue,2016,2025-05-18,2025-05,142985,100k-150k,Transmission,1489.03,3,T-17,Northeast,N
205,V-0060,Nissan,Rogue,2016,2025-05-27,2025-05,143167,100k-150k,Brakes,449.34,3,T-06,Northeast,N
206,V-0061,Nissan,Rogue,2017,2025-05-08,2025-05,120578,100k-150k,Suspension,551.3,1,T-07,Southeast,N
207,V-0061,Nissan,Rogue,2017,2025-06-10,2025-06,121914,100k-150k,Suspension,585.29,2,T-19,Southeast,N
208,V-0061,Nissan,Rogue,2017,2025-07-05,2025-07,122885,100k-150k,Suspension,496.02,1,T-19,West,N
209,V-0061,Nissan,Rogue,2017,2025-07-24,2025-07,123515,100k-150k,Brakes,462.38,2,T-19,West,N
210,V-0061,Nissan,Rogue,2017,2025-12-10,2025-12,129258,100k-150k,Engine,1849.87,7,T-02,Midwest,N
211,V-0062,Ford,F-150,2015,2025-03-15,2025-03,142831,100k-150k,Engine,957.33,4,T-16,Midwest,N
212,V-0062,Ford,F-150,2015,2025-03-25,2025-03,143553,100k-150k,Suspension,454.44,1,T-16,Northeast,N
213,V-0062,Ford,F-150,2015,2025-04-22,2025-04,143839,100k-150k,Electrical,356.08,1,T-05,Midwest,N
214,V-0062,Ford,F-150,2015,2025-05-04,2025-05,144807,100k-150k,Suspension,395.21,1,T-10,Northeast,N
215,V-0062,Ford,F-150,2015,2025-08-10,2025-08,148720,100k-150k,Electrical,453.72,2,T-02,Southwest,N
216,V-0063,Ford,Escape,2022,2025-05-31,2025-05,30787,25k-50k,Electrical,271.48,1,T-01,West,Y
217,V-0063,Ford,Escape,2022,2025-12-03,2025-12,35273,25k-50k,Suspension,834.7,3,T-02,West,N
218,V-0063,Ford,Escape,2022,2025-12-24,2025-12,35577,25k-50k,Suspension,578.95,1,T-10,Southwest,Y
219,V-0064,Honda,Civic,2015,2025-05-25,2025-05,142693,100k-150k,HVAC,285.39,1,T-02,Northeast,N
220,V-0064,Honda,Civic,2015,2025-05-31,2025-05,142622,100k-150k,Brakes,158.71,2,T-20,Southeast,N
221,V-0064,Honda,Civic,2015,2025-06-01,2025-06,143119,100k-150k,HVAC,249.98,1,T-14,Midwest,N
222,V-0064,Honda,Civic,2015,2025-07-13,2025-07,144861,100k-150k,Engine,3089.65,5,T-19,West,N
